id,model,reported_model_label,metric,class_name,condition,value,range_lower,range_upper,reported,precision,unit,evidence,dataset_type,source_pdf,source_pdf_page,source_location,notes
nca_ijepa_drift,I-JEPA-H/300 + NCA,,cosine_drift,,across tested noise levels; no individual sigma assigned,0.01,,,approximately 0.01,approximate,cosine drift,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
nca_ijepa_raw_drift_005,I-JEPA-H/300 raw encoder (NCA experiment),,cosine_drift,,Gaussian noise σ=0.05,0.46,,,0.46,contextually_approximate,cosine drift,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
nca_ijepa_raw_drift_010,I-JEPA-H/300 raw encoder (NCA experiment),,cosine_drift,,Gaussian noise σ=0.10,0.6,,,0.60,contextually_approximate,cosine drift,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
nca_ijepa_before_005,I-JEPA-H/300 before NCA,,macro_auroc,,Gaussian noise σ=0.05,0.641,,,0.641,reported_3_decimal_places,macro AUROC,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
nca_ijepa_after_005,I-JEPA-H/300 + NCA,,macro_auroc,,Gaussian noise σ=0.05,0.88,,,approximately 0.88,approximate,macro AUROC,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
nca_ijepa_before_clean,I-JEPA-H/300 before NCA,,macro_auroc,,clean,0.910,,,0.910,reported_3_decimal_places,macro AUROC,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
nca_ijepa_after_clean,I-JEPA-H/300 + NCA,,macro_auroc,,clean,0.875,,,about 0.875,approximate,macro AUROC,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
nca_mae_after_clean,MAE-H/300 + NCA,,macro_auroc,,clean,0.922,,,roughly 0.922,approximate,macro AUROC,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
nca_mae_after_005,MAE-H/300 + NCA,,macro_auroc,,Gaussian noise σ=0.05,0.91,,,about 0.91,approximate,macro AUROC,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Section V.I, Why Simple Downstream Fixes Are Insufficient",These values describe the NCA experiment. We retain approximate wording and do not substitute its raw-encoder drift values for Tables V or VII. The Figure 8 caption on page 12 also presents the NCA values approximately and rounds clean NCA AUROC to about 0.88.
fig7_atelectasis_jepa300,I-JEPA-H/300,JEPA300,delta_lesion,Atelectasis,classification-aligned lesion occlusion,0.83,,,0.83,reported_2_decimal_places,logit difference,paper_reported,aggregate_experimental_results,texjepa-manuscript,10,"Figure 7, right-panel heatmap numeric annotation",We transcribe the printed cell label at two decimal places. No confidence intervals or additional precision are inferred. Figure 7 caption identifies the full model names.
